Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
1332_f_at	57.85	23.85	-4.3	-15	87.25	93.2	20.6	44.1
1333_f_at	132.15	343.25	17	47	-24.75	82.5	14.1	7.15
1334_s_at	-101.4	-83.65	-6.5	22.4	-30.85	-12.1	-27.15	-114.65
1335_at	-47	6.1	73.6	77.35	5.4	14.05	25.5	13.35
1336_s_at	1421.9	1625.1	553.35	755.1	31.9	7.25	3.35	42.5
1337_s_at	-41.05	-20.1	47.9	33.75	-18.5	31.25	12.15	-31.9
1338_s_at	38.35	23.25	49.5	58.65	111.25	212.15	2044.4	3661.6
1339_s_at	91	91.25	75.85	73.5	34.6	111.5	51.25	107.15
134_at	-22.6	8.1	27.25	27.65	-36.25	-131.75	-33.4	-121.75
1340_s_at	15.4	8.1	0.1	13.25	16.05	39	1.25	17.9
1341_at	-54.5	-20.65	11	27	43	59.5	6.5	40.5
1342_g_at	14.4	5.7	37.5	36.6	7.4	24.25	11	18.5
1343_s_at	4.65	11	-2	-4.15	-15.25	-24.3	0.35	13.35
1344_at	-6.5	-9.4	-45.6	-37.35	-21	-43.6	-0.75	-78.6
1345_s_at	-24.45	-22.85	10.15	-3.65	-1.9	-26.1	-40.4	-92.9
1346_at	10047.85	12706.3	411.6	583.85	34.85	-30.85	-19.6	50.4
1347_at	141.25	188.25	17.35	53.85	79.75	181.5	21.35	-22.75
1348_s_at	9.9	65.5	63	81.5	57.75	156.6	39.15	2.35
1349_at	-18.65	-9.9	-10.75	5.1	-31.35	-16.65	-10.85	-69.65
135_g_at	2	41.65	60.45	133.4	27	13.15	1.5	1.55
1350_at	-4.6	-0.25	2	4.25	48.35	108	410.75	839.35
1351_at	22.4	25	-37.25	-2.35	75	225.45	163.85	251.15
1352_at	44	42.15	65.9	2.1	23.25	176.6	9.75	48.7
1353_g_at	15.65	54.6	41.75	14.5	59.6	112.65	25.35	39
1354_at	91.15	62	66.65	63	51	76.65	38.5	9
1355_g_at	898.1	868	505	526.85	15.85	51	2.25	-19.1
1356_at	106.9	79.1	50.85	142.4	69.5	233.8	21.15	25
1357_at	87.25	196.5	34.85	97.35	33.9	87.4	35.5	21.35
1358_s_at	190.35	282.9	103.35	111.25	202.35	531.15	-8.25	22.5
1359_at	-28.4	-11.25	-20.65	9.65	-47.75	-33.15	-11.5	-83.25
136_at	-52.15	-123.75	-55.6	-71.65	-55	-107	-76.75	-150.4
1360_at	14.1	3.4	13.65	15.75	-0.25	12.9	5.4	-0.7
1361_at	53.15	30.85	92.55	184.5	19.15	13	-9.25	2.85
1362_s_at	59.5	163.75	25.1	87.25	15.25	18.65	1.1	35.5
1363_at	120	186.6	91.6	116.35	19.75	139.15	35.85	74.6
1364_at	169.75	162.4	955.75	1196.65	0.35	32	-5.3	8.5
1365_at	-10.65	-16.25	-25.25	-12.15	19.5	6	28.35	66.05
1366_i_at	3809.5	5785	5303.2	7837	5574.3	11969	3802.5	8581.3
1367_f_at	4714.4	8247.35	4854.6	6774.65	4843.5	11469.5	3577.15	4777.25
1368_at	15.25	15.9	-12.75	1	250.4	524.95	52.5	148.5
1369_s_at	-25.1	7.25	-2	-15.5	-3.9	2.25	-7.15	-5.5
137_at	50.85	25	47.45	32.5	1492.35	3003.35	50.6	94.1
1370_at	75.75	80.15	127.75	109.55	177.75	231.85	100.4	403.75
1371_s_at	-16	-5	-32.95	82.4	326.5	883.75	2209.25	2938.85
1372_at	14.8	22.1	4.5	17	16.25	9.75	6.5	13.75
1373_at	55	122.85	173.75	195.2	52.75	171.5	21.1	37.25
1374_g_at	7.4	29	68.6	90.1	6.35	33.65	5.6	-10.5
1375_s_at	61.25	120	69.25	80.25	45.1	127	26.5	46.9
1376_at	29.25	15.85	18.5	-19.6	1.25	-9.1	-8.7	-215.35
1377_at	24.9	43.75	33.25	50.6	63.1	140.5	17.35	36.75
1378_g_at	18.25	32.25	16.4	30.9	26.4	65.5	10.9	43.25
1379_at	30.75	0.85	13	19.95	122.75	346.15	86.4	201.25
138_at	59.25	63.65	-8.35	23.9	-6.6	73.4	43.55	58.85
1380_at	17.3	13.75	6.75	5	-0.9	-2.65	-6.6	1.25
1381_at	-15.35	-16.25	51.6	-12.75	25.4	-2.35	-12.65	-17.6
1382_at	19.2	2.65	32.15	24.3	32.5	56.35	-5.65	20.4
1383_at	372.85	335.75	155.9	234.35	48	135.4	41.6	13.7
1384_at	11.6	-1.05	-2	4.9	6.65	-23.5	7.25	-9.35
1385_at	17.1	28	15	23.6	387.5	1118.25	350.65	433.6
1386_at	89.6	87.9	133.35	168.75	72.9	127	81.35	166.5
1387_at	-16	-12.5	-68.5	-69.5	-10.75	1.25	-62.5	-105.4
1388_g_at	10.5	6	5.4	22	25	13.4	14.15	2
1389_at	63.25	-11.75	88.75	138.6	-14.85	-34.65	8.55	-9.75
139_at	16.45	15	4.35	13	-11.2	-90.1	-30.65	-91.6
1390_s_at	19.65	75.5	84.75	59	87.85	98.65	25	186.35
1391_s_at	-15.6	-4.75	8.35	-2.4	1453.4	2571.25	4234.6	7396.5
1392_at	294.9	478.5	274	287.9	166.4	319	152.25	236.5
1393_at	-5.1	34.9	30	35	25.1	13.6	7.5	-8.25
1394_at	758.65	1755.35	498.35	511.5	569	1057	838.1	1462.65
1395_at	289.75	419.4	181.25	343.1	606.65	1300.55	249	680
1396_at	233.25	433.6	193.85	307.05	119.35	285	40.85	84.25
1397_at	152.6	46.9	31.4	-7.75	65	196.25	39.25	274.15
1398_g_at	168.35	280.35	138.75	243.05	336.5	548.55	338.5	657.1
1399_at	1088	1035.25	545.6	804.25	440.5	886	165.1	126.5
140_s_at	216.65	175.9	281.35	412.9	139	317.75	27.25	54.75
1400_at	4.5	8.9	24.85	2.6	-0.9	16.4	9.9	54.1
1401_g_at	15.35	66.25	28.25	33.75	16.25	96.5	28.45	91.1
1402_at	62	98.5	11.1	40.9	129.35	253.95	42.25	58.9
1403_s_at	25.85	15.25	21.85	12.5	58.35	108.25	88.75	101.45
1404_r_at	-24.75	-20.5	-32.8	-11.2	-43.3	-49.9	-22.6	-40.9
1405_i_at	-37.85	-16	-40.75	-21.25	-20.5	-8.25	-4.25	-9.75
1406_at	-8.4	-12.6	25.4	3.75	7.5	21.3	11	42.2
1407_g_at	3.9	1.5	29.75	24.25	49.1	18.25	-0.85	8.85
1408_at	21	-1.5	0.5	-4.6	18.35	1.15	0.75	-0.55
1409_at	183.25	333	140.15	109.5	62.75	135.35	75.65	78
141_s_at	10.4	29.15	63.4	82.5	14.3	-87.75	13.05	-19.4
1410_at	-33	-32.85	-27.15	-52.4	-32.5	-52.4	-13.9	-60.1
1411_at	74.65	47.35	44.75	54.6	13.25	-12.25	-9.75	-31.4
1412_g_at	-68.5	-53.5	-18.05	-108.4	-81	-155.25	-29.25	-176.1
1413_at	-22.75	-4	-21.1	-17.5	-32.1	-73.75	4.5	-68.15
1414_at	-7.75	13.35	-3.15	14.25	3.05	-32.75	-8.05	-4.65
1415_at	141.35	187.05	123.75	165	35.25	79.4	158.35	355.5
1416_g_at	19.1	21.25	-1.25	-13.9	-14.25	4.35	-11.5	18.35
1417_at	9	-9.5	-20	-38.15	-16.9	-9.15	-19.35	-24.6
1418_at	-46.85	-42.35	-62.25	-65	-55.75	-193.25	-32.25	-78.25
1419_g_at	3.25	49.5	49.75	-3.25	67.4	86.2	-11.6	-6
142_at	-9.25	24.1	67.5	46.45	10.5	25	1.1	-30.65
1420_s_at	3683.85	3495.85	4012.4	5109.35	1242.5	3286.35	426.9	807.45
1421_at	9.25	30.5	52.75	71	14.1	12.5	2.15	14.4
1422_g_at	57.25	54.9	101.4	124.1	34.3	2.1	16.65	22.5
1423_at	50.75	130.5	96.15	123.6	29.5	101.6	24.25	27.65
1424_s_at	9385.75	13200.75	5668	8335	1732.35	3832.8	475.75	488.95
1425_at	-9.35	8.1	3.75	19.5	-4.45	-10	2.1	-12.75
1426_at	119	129.6	1102.85	1214	146.75	349.25	69.85	120
1427_g_at	26.5	39.25	413.1	529.85	58.05	178.2	34.1	15.35
1428_at	-33.1	-20	-17.35	-23.6	-14.6	-8.75	-1.4	4.55
1429_at	-57.85	5.6	-38	-82	-91.25	-214.35	-10.25	-242
143_s_at	50.5	31.85	66.25	64.15	7.75	31.25	16.55	9.25
1430_at	712.1	1798.6	366.9	473.55	12.65	-25.25	-28.75	-48.75
1431_at	23.95	52.25	84.5	76.5	762	1758.5	10979.8	14934.85
1432_s_at	97.25	33.35	-0.25	-8.6	184.25	175.25	46.25	42.35
1433_g_at	63.1	63.5	4.65	40.75	8.25	76.85	21.45	16.65
1434_at	20.7	24.65	49.5	88.75	36.65	55.5	25	38.1
1435_f_at	-22.3	-13.7	-10.5	-8.1	-16.85	-4.25	19.85	-8.5
1436_at	-29.35	-12.6	19.5	-19.75	5	44.05	10.35	20.85
1437_at	16.25	25.65	33.3	22.5	17.15	53.35	19	20
1438_at	22.25	110.35	33.1	13.75	-20.5	72.75	-13.85	-4.5
1439_s_at	17.4	58.25	32	39.95	25.4	57.75	32.1	81.6
144_at	-5.1	45.5	12.9	16.15	27.35	44.4	11.4	15.15
1440_s_at	13.3	17.75	-4.5	6	6	38.6	8	31.65
1441_s_at	-25.5	-6.25	-20.85	-7.65	-24.15	-34.5	-9.4	-7
1442_at	31.85	27.1	88.65	89	24.25	44.25	41.65	20.15
1443_at	-30.75	-22.75	-32	-18.85	186.9	264.25	-22.65	-48.25
1444_at	123.9	176.5	23.25	40.1	220.35	482.5	109.4	149.65
1445_at	31.85	32.75	52.5	52.35	139.35	168	22.6	104.5
1446_at	127.25	131.4	288.75	457.65	200.65	473.5	100.35	129.5
1447_at	526.35	397.3	528.8	821.15	677	1692.75	509.1	713.5
1448_at	193.15	117	243.6	341.15	96.1	146.5	19.5	13.6
1449_at	83.5	77.65	221.5	368.4	109.25	227.5	37.5	27.1
145_s_at	48.85	53.25	16.25	50	57.55	122.1	82.75	140.85
1450_g_at	98.75	126.6	216.85	398	105.95	338	27.35	51.65
1451_s_at	25.6	20.35	31.85	39.35	11.5	34.75	14	9.25
1452_at	854.55	1043	1378.5	1989.75	56.1	213.5	60.25	142.65
1453_at	101.5	138	156.65	229	61.5	198.65	22.5	37.05
1454_at	3.6	61.8	13.7	5.6	-27.85	-68.75	-10.35	-36.5
1455_f_at	49.5	99.6	67.5	44.6	165.1	349.75	2061.1	3112.75
1456_s_at	30.75	17	48.35	80.75	28.1	58.75	17.5	32.35
1457_at	32	-1.35	81	82.25	32.75	46.8	-2.25	16.65
1458_at	51.1	74.25	32.4	38.7	57	156.65	48.85	90.95
1459_at	132.75	148.15	73.65	139.15	36.15	64.85	25.9	116
146_at	171.7	342.6	71	113.75	60	123	71.4	50.85
1460_g_at	224.05	167.6	133	172.6	11.9	2.5	-1	9
1461_at	410.4	696.1	251.65	360.5	736.75	1507.9	637.35	582.65
1462_s_at	-242.05	-287.9	-169.4	-233	-137.65	-285	-143.9	-418.5
1463_at	89.75	92.85	299.35	471	67	162.55	18.75	12.35
1464_at	43.65	109.85	51.5	-38.35	79.25	313.65	82.4	181.7
1465_s_at	1.5	-6.9	-2.25	-22.35	-5.4	-12.65	-6.25	-3.65
1466_s_at	-17.15	-13.75	-11.6	-15.75	-30.9	-19	-0.75	-10.75
1467_at	43.75	59.75	168.75	300	21	89.95	-0.3	-19.35
1468_at	618.25	1098.75	267.85	423.2	995.5	1904.2	655.65	1206.4
1469_at	182.5	55.85	335.05	372.75	404	562.25	329	552.4
147_at	141.65	153.5	211.85	298.65	209.75	536.85	-4.15	16.25
1470_at	68.6	89.6	-129.25	-75.1	-4.75	133	149.05	304.65
1471_at	-4.6	-7.4	-9.2	-12.9	21.25	-0.7	-5.75	5.75
1472_g_at	-1.65	15	-8	9.15	-5.35	10.35	0.65	10.5
1473_s_at	8.35	-5.65	1.5	14.75	13.5	30.6	-0.75	15.5
1474_s_at	-3.5	10.15	11.65	21.25	23.4	35.4	10.75	16.6
1475_s_at	8.65	-4.25	3.85	9.9	-30.4	-42.5	11.25	-36.35
1476_s_at	14.05	6.5	17.75	60.65	31.4	61.1	-17.35	43.2
1477_s_at	14.5	26.1	0.35	61.4	-11.8	-7.6	98.4	284.15
1478_at	11.1	19.15	23.4	61.25	26.25	27.95	18.75	32.4
1479_g_at	-11.5	-4.5	-0.65	4.4	-19.4	-3.25	1.15	-3.1
148_at	59.45	35	44	25.1	85.35	261.15	34.5	15.85
1480_at	33.25	39.6	89.25	143	42.15	58	0	-12.05
1481_at	33	40.4	5.25	22.1	0.4	13.5	19.15	64
1482_g_at	13.6	14.6	8	24	-9.6	-3.75	-3.25	-4.75
1483_at	176.75	289.75	205.75	194.5	92.2	78.35	69	4.65
1484_at	80.75	75.25	54.85	75.6	2.75	7.5	-8.65	12.5
1485_at	-0.1	-10	24	43.15	-6.9	-15	-8.1	-32.75
1486_at	463.45	804.75	120.85	322.65	511	944	547.5	878.85
1487_at	173.25	184	73.75	74.1	124.25	288.25	168.85	403.1
1488_at	374.65	503	973.4	1221	118.65	396.7	117.65	102.65
1489_s_at	-69.5	-104.25	-63	-262.75	-281.25	-407.6	-86.1	-107.25
149_at	59.5	74	49.5	98.1	116.9	283.35	37	82.5
1490_at	-5.5	2.15	-10.4	20.75	-9.65	31.2	95	59.95
1491_at	-3.75	8.15	33.3	37	-5.75	7.25	-5.75	-38.4
1492_f_at	47.75	102.65	40.5	62.9	178	300.15	2634.65	4458.2
1493_r_at	39.3	-42.35	-0.5	-4.25	24.85	12.55	34	41.4
1494_f_at	111.9	111.55	135.65	137	196.5	508.6	6246.15	10425.4
1495_at	16	26.75	38.9	60.65	75.6	242.75	17.35	41.2
1496_at	359.9	443	276.5	529.5	39.25	73	15.5	35.9
1497_at	-30.75	-26.65	44.65	24.35	145.85	299.5	115.65	182.75
1498_at	6.4	34.4	9.5	22.1	-33.6	64.4	0	32.85
1499_at	466	312	474.85	695.65	80.5	318.25	41.65	49.6
150_at	17.35	15.15	57.4	64.35	59.1	67.75	9	42.25
1500_at	19.65	3.5	8.1	-9.25	15.1	6.1	-1.75	1.85
1501_at	68	58.6	157.9	238.5	33	12.5	302.5	403.5
1502_s_at	-39.4	1.75	-20.85	-35.15	-37.2	-42.25	-12.5	-46.55
1503_at	10	26.75	18	27.75	27.75	35.15	2.5	32.85
1504_s_at	1.4	-29.3	7	35.85	-118.35	-202.75	-51.5	-190
1505_at	41.85	46.9	51.75	31	330.6	943	-6.35	10
1506_at	-19.4	44	48.45	-10	87.1	153.25	-3.75	-58.05
1507_s_at	17.35	14.6	26.75	49.15	21.75	27.75	2.9	-62.4
1508_at	46.55	4.35	-44.15	-20.75	39.05	63.75	35	35.55
1509_at	17.25	27.5	35	34.25	23.5	100.15	-0.85	73.5
151_s_at	4446.5	9046.25	10496.65	14349.85	5070.6	9356.4	2018.85	3235
1510_g_at	-47.75	-54	-29	-19.4	8.75	-32.35	-41.1	-113.4
1511_at	386.5	767.75	167.25	199.9	50.1	63	-15.1	-26.65
1512_at	294.5	338.9	461.5	866.55	108.15	253.4	33	18.25
1513_at	48.1	42	13.75	29.25	44.6	171.25	-11.75	59.7
1514_g_at	0.1	-20.75	19.6	2.25	36.6	19.75	-9.35	-30.85
1515_at	126.65	200.35	65.35	107.5	212.75	443.75	28.75	31
1516_g_at	65.2	114.75	55.25	58.4	102.5	248.75	6.25	-0.6
1517_at	-16.75	12.1	-4.25	-24.35	29.75	32.6	-29.1	22.5
1518_at	-75.65	-42.5	-59.4	-68.8	-20.1	-134.95	-11.6	-94.25
1519_at	129.65	513.45	71.25	74.2	392.25	983.4	21.35	42.5
152_f_at	-21	-50.65	-48.6	-34.5	-28.9	-47.85	-13	9.5
1520_s_at	-81.65	-26.35	1.65	-28.85	11.4	-3.5	-126.65	-24.3
1521_at	640.1	668.75	357.6	436.75	204.15	452.1	171.1	250.35
1522_at	-157.9	-164.25	-102.85	-121.25	-207	-463.5	-150.4	-374.5
1523_g_at	103.1	141.9	109.65	134.75	149.5	97.9	88.6	133.25
1524_at	151.25	126	224.75	202.4	186	162.35	83	219.5
1525_s_at	-43	-44.9	-29	-52.65	-55.7	-57.25	-12.4	-109.7
1526_i_at	-138.25	-135.75	-136.4	-137.75	-167.25	-253.1	-105.75	-277.85
1527_s_at	96.6	155.45	59.9	67.35	72.15	184	24.35	64.1
1528_at	-36.75	-34.35	-45.35	0	-43.1	-5	-16.25	-39.5
1529_at	176.25	234.75	450.65	650.15	33.7	103.85	22.35	27.9
153_f_at	10.6	18.35	20.85	14	38.25	83.25	-9.5	11.75
1530_g_at	32.9	49.15	129.75	186	-9.85	2.75	1.4	-5.5
1531_at	22.45	22.5	34.65	39.15	26	29.5	-6.5	4.4
1532_g_at	69.9	105.9	174.75	161.85	36.75	53.5	31.65	36.65
1533_at	18.35	0.1	26.75	48.9	-3.75	-17.85	6.5	-25.5
1534_at	12.2	34.5	31.25	48	10.15	5.75	12.25	15.1
1535_at	18	38.75	133.15	182.35	11.5	-132.9	-46.15	-267.1
1536_at	-9	8.5	-37.75	-27.65	3.9	26	-12.5	-32.6
1537_at	56	90.75	56.35	108.9	207.05	347	207.5	287.75
1538_s_at	-10.85	-27.1	-1.1	-12.75	-29.15	-16.5	-5	-8.1
1539_at	-3.15	12.25	49.75	55.75	19.9	37.85	-5.15	-9.4
154_at	-11.6	0.35	3.65	18.15	12.05	10.5	-7.4	-18.25
1540_f_at	33.55	6.5	35.1	13.9	16.35	30.1	13.05	2.4
1541_f_at	18.85	5.25	-6.85	-13.5	-6.1	-5.4	-14.6	34
1542_at	118.1	169.6	261.7	311.85	368	678	140.5	322.5
1543_at	-5.4	-16.75	-13.75	2.25	-19.45	-85.65	-8.1	-50.9
1544_at	-4.15	9	14.75	47.85	-21.6	18.5	-8	-8.6
1545_g_at	13.25	2.9	10.6	31.35	24.35	17	-0.9	16.35
1546_at	-22.1	-6.9	4.5	-4.35	430.9	808.75	357.4	781.75
1547_at	7.85	5	2.2	11.1	10.6	105.85	15.1	-1
1548_s_at	16.5	13.25	7.05	15.75	-8.6	48.9	3.75	54.6
1549_s_at	-6.4	-32.9	-1.45	2.1	17.75	12.6	-11.65	16.5
155_s_at	275.25	279.85	399	625.7	155.35	444.75	65	85.65
1550_at	159.7	495	71	83.75	87.25	355	87.85	233.3
1551_g_at	320	579.75	312.7	280.75	330.75	757.15	203.25	489.1
1552_i_at	9.25	9.6	50.15	19.35	33.5	14.35	-24.85	35.75
1553_r_at	152.3	262.2	95.7	102.5	137.5	175	118.5	232
1554_f_at	6.65	3.5	33.35	46.15	67.1	155.45	224.75	597
1555_f_at	-41.75	-18.4	-52.15	-37.35	34	40.35	3188.5	5607.4
1556_at	158.15	205.85	291.3	421.9	141.25	252.5	62	99.85
1557_at	98	424.6	20.25	29	-17.85	-64.9	-3.65	-51.25
1558_g_at	288	659.5	86.5	131.65	55.5	171.6	8.15	17.85
1559_at	2.9	-30.75	-44.6	-27.4	-16.6	8.5	-3.25	-137.75
156_s_at	73.25	86.35	133	121	22.85	27.75	20.9	38.65
1560_g_at	-5.9	20	72	113.15	23	-11.05	6.5	-4.4
1561_at	145.65	320	104.9	147.6	-6.85	5.85	18.75	-23.5
1562_g_at	506.15	1918.9	456.25	661.4	-51.5	-4.25	-8.35	-33.85
1563_s_at	79.25	184.35	50.2	73.85	490.4	1267.25	286.15	560.65
1564_at	319.3	815	298.85	355.75	133.9	404.35	531.85	1158.65
1565_s_at	408.35	612.9	269.5	624.6	190.35	449.4	67.75	335.9
1566_at	37.5	72.25	126.5	173.85	32.5	88.5	0.25	24.4
1567_at	33.35	35.8	29.65	35.9	54.9	91.1	16.6	31.75
1568_s_at	12.9	4.85	34.1	41.5	23.35	75	2.5	29.85
1569_r_at	130.5	152.2	238	298.7	215	582.2	176	416.7
157_at	-8.5	-6.75	-26.5	-45.4	-33.6	-17.5	-13.35	-24.5
1570_f_at	-11.35	6.6	-1.25	1	2.1	-5.35	-4.4	1.75
1571_f_at	-17.2	8	5.15	11.65	-14.85	-3.5	-8.4	-18.35
1572_s_at	12.6	-10	19.5	7.6	3.35	23.15	2.85	-20.25
1573_at	-51.1	-32.25	-17.15	-101.1	-117.15	-213.75	-103	-114.5
1574_s_at	20.4	26.9	43.15	31.6	18.9	15.15	17.85	19.5
1575_at	79.35	68.75	65	78.4	38.5	84.35	42.5	94.5
1576_g_at	-127.75	-252.75	-118.35	-177	-96.5	-134.9	-218.65	-400.75
1577_at	-6.15	1.15	-3.75	0.65	17.5	70.5	170.5	1116.65
1578_g_at	-7.85	40	0.15	14.4	43.1	50.15	17.35	332.75
1579_at	18.25	-48.25	2.75	-12.5	21.25	27	26.6	101.15
158_at	4.25	20.75	-4.25	19.9	8	-4.85	16.3	12.85
1580_f_at	-49.5	-14	-53.25	-36.9	-35	-63.25	-16.85	-130.25
1581_s_at	17	7.1	107.6	188.35	4.5	6.6	-10.35	-8.8
1582_at	38.6	4	40.9	25.2	16.75	29	26	69.5
1583_at	63.5	77.35	19.4	21.35	201.7	215.65	60.85	173
1584_at	4.9	18.85	13	-11.1	34.85	18.15	2.35	-22.85
1585_at	114.1	119.9	20	10	115.55	269.6	33.85	206.5
1586_at	7	11.5	6.7	42	741.9	2334.35	414.4	929.65
1587_at	-19.75	31.6	-3.65	7.5	69.25	45.4	20.85	-29.75
1588_at	26.1	34.5	28.15	32	2.15	43.85	16	-9.2
1589_s_at	13.5	11.65	33.35	42.6	43.5	96.85	16.65	20.6
159_at	-37.85	4	-5.25	2	-7.5	-35.35	-15.5	-33.65
1590_s_at	453.25	717.25	173.4	294.1	42.65	43.4	21.5	46.65
1591_s_at	41.25	62.25	110.6	60.8	9593.1	14642.6	319.5	786
1592_at	19	40	74.5	89.6	67	132.6	-3.2	63
1593_at	14.3	31.1	10	24.65	25	4.4	5.5	10.9
1594_at	76.4	118.85	83.35	96	177.5	243.65	66.85	81.5
1595_at	14.6	18.75	27.15	18.95	16.75	42	-8.4	-3.75
1596_g_at	95.1	87	38.75	25.75	52.75	179.4	33	49.15
1597_at	189.5	311.15	70.5	39.75	-21.85	-109.6	36.75	-36.25
1598_g_at	547.25	1254.6	336.35	392.85	38.6	284.25	147	337.35
1599_at	-2.5	-11.15	-28.85	-17.5	37.25	54.25	-0.75	-42.1
160_at	154.25	242.75	210.5	172.1	60.75	149.15	-1.35	-8.1
1600_at	18.85	37.15	38.6	19.9	42.85	21.35	25	63.5
1601_s_at	-21.9	-62.65	-18	-40.75	-67	-144	-59.15	-175.15
1602_at	157.1	118.75	289.25	348.75	35.9	79.6	-0.65	8.1
1603_g_at	70.15	52.15	146.35	266.5	36.5	104.65	13.35	1.35
1604_at	0.25	-4.25	-3.05	-8.9	-24.5	4.7	2.45	-9.5
1605_g_at	0	15.25	141	242.35	-3.85	-3.15	-3.15	11.85
1606_at	382.15	591.75	331.65	499.75	67	96.65	42.25	78.75
1607_at	-3.25	13.05	-18.35	-40.75	-5.1	-72	-4.5	-18.6
1608_at	12.9	-10.25	5.6	13.5	-12.15	-16	-5	20.45
1609_g_at	31.85	34.9	63.9	63.5	40	74.25	4.45	14.2
161_at	23.15	-15.95	3.25	-1	2.5	7	4.5	8.85
1610_s_at	-5.1	9.25	9.9	3.85	9.4	73.25	-6.1	3.4
1611_s_at	-7.75	3.35	-9.65	-19	0	-12.9	-7.1	-14.5
1612_s_at	5656.65	9768.85	3542.2	3648.55	6026.4	10667.4	1769.75	3016.25
1613_s_at	19.75	18.4	19.35	2.4	5.2	6.85	4.2	11.5
1614_s_at	18	18.75	64.4	128.75	0.4	38.15	12.15	-26
1615_at	11.4	187.5	90.6	139.65	343.3	567.6	31.5	185.15
1616_at	183.4	153.75	377	558.75	13.4	36.25	-1.4	21.5
1617_at	-9.9	-30.5	-19.15	-28.1	29.9	-11.65	-8.25	-48.25
1618_at	-26.75	-6.65	-22.15	-13.5	-21.15	-31.25	-5.1	-36.2
1619_g_at	-1.75	17	-30.5	-24.9	30.15	39.25	-7.4	-6.35
162_at	5207.5	8852.1	2125.85	2201.25	866	1332.25	355.1	1053.75
1620_at	-13.9	-31.1	-17.35	-3.5	-23.15	-0.45	0.4	-4.4
1621_at	5.65	4.6	5.1	23	-0.25	-15.25	-5.6	1.85
1622_at	-37.6	21.6	24.6	27	407.5	981.4	180.9	52.25
1623_s_at	31.75	7.5	9	38.5	17.9	20.05	3.9	15.5
1624_at	206	229.65	411	534.25	50.1	105.75	24	67.9
1625_at	13.15	-7.5	-0.75	-2.3	13.5	13.85	6.35	20.9
1626_at	30.15	-4.1	17.1	14.1	51.4	134.9	41.75	71.35
1627_at	141.5	123.9	209.75	257.75	571.75	1376.15	178.2	854.45
1628_at	-10.3	-6.15	-3.1	-4.4	20.9	-1	-18.4	-35.95
1629_s_at	36	22.35	117.85	154.4	-3	9.6	-15.35	21.35
163_at	129.75	234.85	137.65	128.6	79.5	114.25	16.35	-35.4
1630_s_at	-27	6.9	-2.5	24.4	-40	77.15	-22.85	7.1
1631_at	-46	-71.15	-41.75	-108.15	-62.7	-117.2	-52	-122.1
1632_at	-18.25	-8.5	-19.25	-44.15	15.25	-14.15	-7.25	-31.35
1633_g_at	164.9	402	97	132	336.75	686.5	86.05	59.35
1634_s_at	6.85	-6.15	-2	-28.85	3.75	-7.5	-6.75	-21.6
1635_at	126.25	486.65	208.15	342.85	82.25	198.6	47.8	153.25
1636_g_at	513.85	894.4	531.5	720.35	226.85	479.85	81.5	233.1
1637_at	14.85	29.65	-49	-77.25	40	122	50	22.75
1638_at	6.95	22.25	29.1	23.6	52.6	90.35	36.35	18.35
1639_s_at	22.15	12.4	9.85	42.5	28.85	34	11.5	16.65
164_at	10.1	-0.5	19.4	7.75	2.4	-19.35	6.6	32.4
1640_at	278.1	333.25	353	438.75	201.6	539.25	70.75	197.75
1641_s_at	719.85	1231.25	458.75	669	366.4	904.35	389.5	817.65
1642_at	77.85	182.4	212.1	218.05	69.75	139.95	5.25	72
1643_g_at	186.75	346.9	588.5	552.25	130.85	239.5	53.9	201.35
1644_at	170.25	299.5	230.15	366.3	233.1	716.75	131.5	258.5
1645_at	6.85	34.75	-5	12.6	-40.25	-28.85	19.1	23.05
1646_at	-0.45	37.65	25.65	37.35	-27	5.5	-1	-2.35
1647_at	41.25	13.3	83	103.5	109.1	294.15	63.6	171.35
1648_at	36.05	9.9	15.9	0.15	23.75	75.15	10.25	8.5
1649_at	110.5	170.75	58.5	32.9	212	499.75	-16.1	79.9
165_g_at	-179.5	-208.35	-291.95	-325	-221.25	-431.75	-116.15	-320.5
1650_g_at	89.5	408.35	-44.75	27.75	645.5	1657.5	-130.4	-219.65
1651_at	25.6	26.35	69.4	83.25	306.85	578.65	-8.45	25.9
1652_at	-8.75	20.5	31.35	-2.75	68.4	74.25	-13.25	-5.9
1653_at	2578.45	3559.1	5367.25	7933.9	4045	8117.9	2176.75	3700.55
1654_at	-13	-2.6	-10.25	-0.25	-21.6	-35.4	-9.6	-46
1655_s_at	-0.75	-0.9	-19.75	-9.25	2.5	-20.5	-12.65	-5.9
1656_s_at	11	2.65	-37.55	-17	-10.5	-2.95	-62.15	-163.4
1657_at	31.25	57.4	22.25	71.15	0.85	-0.5	-6.9	-13.5
1658_g_at	92.85	101.25	40.15	122.35	9.1	-0.25	-1.2	-3.5
1659_s_at	645.75	947.6	555.35	769.5	198.5	949.75	76.85	267.25
166_at	-46.6	56.15	-54.4	-31.6	118.35	65.1	8.65	94.1
1660_at	164.75	242	227	317.5	88.15	287.5	72.25	107.1
1661_i_at	68.65	105.65	131.25	110.4	46.35	222	60	175.75
